"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.147962854715178,44.67752896743409
3,1902,6.586335884514883,64.69986249996207
4,1903,17.020848664522475,81.43877910930507
5,1904,45.93242212667173,62.35348027524952
6,1905,54.66757688252936,26.203975136353566
7,1906,36.175171101564935,13.533313758572683
8,1907,20.39658308575108,11.079593255260457
9,1908,11.394790229902892,12.355186245472385
10,1909,6.78250435416704,16.274273703213986
11,1910,4.604261492475436,23.28342124445521
12,1911,3.892782466466982,34.50968424152863
13,1912,4.616681591076316,51.20074434250383
14,1913,8.739842587430571,72.06466621775031
15,1914,25.265703993861184,80.61810778123143
16,1915,54.294039465004474,47.46701266960145
17,1916,49.04459109363727,19.682403010962915
18,1917,29.797045907911635,12.042300636323624
19,1918,16.571927820102882,11.21042916066861
20,1919,9.397896545138195,13.426339835013188
21,1920,5.808992638657673,18.33650904075852
